iter	Passed	Remaining
0	59	59013
1	59	29698
2	60	19963
3	60	15057
4	60	12109
5	61	10133
6	61	8729
7	61	7685
8	62	6862
9	62	6201
10	62	5658
11	63	5205
12	63	4822
13	63	4496
14	64	4219
15	64	3971
16	64	3751
17	65	3559
18	65	3384
19	66	3238
20	66	3104
21	67	2982
22	67	2870
23	68	2768
24	68	2668
25	68	2580
26	69	2496
27	69	2417
28	69	2342
29	70	2272
30	70	2212
31	71	2154
32	71	2099
33	72	2050
34	72	2002
35	73	1960
36	73	1916
37	73	1873
38	74	1834
39	74	1799
40	75	1762
41	75	1727
42	76	1695
43	76	1663
44	77	1636
45	77	1610
46	77	1581
47	78	1555
48	78	1528
49	79	1503
50	79	1478
51	79	1456
52	80	1433
53	80	1412
54	80	1391
55	81	1376
56	81	1355
57	82	1338
58	82	1319
59	83	1300
60	83	1282
61	83	1267
62	84	1250
63	84	1234
64	84	1218
65	85	1203
66	85	1188
67	85	1175
68	86	1161
69	86	1147
70	86	1134
71	87	1121
72	87	1109
73	87	1097
74	87	1085
75	88	1073
76	88	1062
77	89	1052
78	89	1041
79	89	1031
80	89	1020
81	90	1010
82	90	998
83	90	988
84	90	979
85	91	970
86	91	961
87	92	954
88	92	947
89	92	939
90	93	931
91	93	925
92	94	916
93	94	909
94	94	901
95	94	894
96	95	886
97	95	880
98	96	874
99	96	867
100	96	862
101	97	859
102	98	855
103	99	855
104	99	849
105	99	842
106	100	837
107	100	830
108	100	824
109	101	819
110	101	816
111	102	811
112	102	806
113	103	800
114	103	795
115	103	790
116	104	785
117	104	781
118	105	777
119	105	773
120	106	770
121	106	765
122	106	762
123	107	758
124	107	753
125	108	750
126	108	745
127	108	741
128	109	737
129	109	734
130	110	731
131	110	727
132	111	723
133	111	719
134	111	715
135	112	711
136	112	709
137	113	705
138	113	703
139	113	699
140	114	697
141	114	693
142	115	689
143	115	687
144	116	684
145	116	680
146	116	677
147	117	674
148	117	670
149	117	667
150	118	663
151	118	660
152	118	656
153	118	653
154	119	649
155	119	646
156	119	644
157	120	641
158	120	639
159	121	635
160	121	631
161	121	628
162	121	625
163	122	622
164	122	619
165	122	616
166	123	613
167	123	610
168	123	608
169	123	605
170	124	602
171	124	599
172	124	596
173	125	594
174	125	592
175	126	590
176	126	588
177	127	587
178	127	586
179	128	584
180	128	582
181	129	580
182	129	578
183	130	577
184	130	574
185	130	572
186	131	570
187	131	568
188	132	567
189	132	565
190	133	564
191	133	562
192	134	560
193	134	559
194	135	557
195	135	555
196	135	552
197	135	550
198	136	550
199	137	548
200	137	547
201	138	546
202	139	546
203	139	545
204	140	543
205	140	541
206	140	539
207	141	538
208	141	536
209	142	535
210	142	534
211	143	532
212	143	530
213	144	529
214	144	527
215	144	525
216	144	523
217	145	521
218	145	519
219	145	517
220	146	515
221	146	513
222	146	511
223	147	509
224	147	507
225	147	505
226	147	503
227	148	501
228	148	499
229	148	498
230	149	496
231	149	494
232	149	492
233	149	490
234	150	488
235	150	487
236	150	485
237	151	483
238	151	481
239	151	480
240	151	478
241	152	476
242	152	475
243	152	473
244	153	471
245	153	470
246	153	468
247	153	466
248	154	465
249	154	463
250	154	461
251	155	460
252	155	458
253	155	457
254	156	455
255	156	454
256	156	453
257	157	453
258	157	451
259	158	450
260	158	449
261	158	447
262	159	446
263	159	444
264	159	443
265	160	441
266	160	440
267	160	438
268	160	437
269	161	435
270	161	434
271	161	432
272	162	431
273	162	430
274	162	428
275	162	427
276	163	425
277	163	424
278	163	423
279	164	421
280	164	420
281	164	419
282	164	417
283	165	416
284	165	415
285	165	413
286	165	412
287	166	411
288	166	409
289	166	408
290	168	409
291	168	409
292	169	408
293	169	407
294	170	406
295	170	405
296	173	410
297	173	409
298	174	409
299	175	408
300	175	408
301	176	407
302	177	409
303	178	408
304	179	407
305	179	407
306	179	406
307	180	405
308	180	404
309	181	403
310	181	402
311	181	401
312	182	400
313	183	400
314	183	399
315	184	399
316	184	398
317	185	397
318	185	396
319	186	395
320	187	396
321	188	395
322	188	395
323	189	394
324	189	393
325	190	392
326	190	391
327	190	390
328	190	389
329	191	388
330	191	386
331	191	385
332	191	384
333	192	383
334	192	382
335	193	381
336	193	380
337	193	379
338	193	378
339	194	377
340	194	376
341	195	376
342	195	375
343	196	374
344	196	373
345	196	372
346	197	371
347	197	370
348	197	368
349	198	367
350	198	366
351	198	365
352	198	364
353	199	363
354	199	362
355	199	361
356	199	360
357	200	359
358	200	358
359	200	356
360	201	356
361	201	355
362	202	354
363	202	353
364	202	352
365	203	351
366	203	350
367	203	349
368	203	348
369	204	348
370	204	347
371	205	346
372	205	345
373	205	344
374	206	343
375	206	342
376	206	341
377	207	340
378	207	339
379	207	338
380	207	337
381	208	336
382	208	335
383	208	334
384	209	333
385	209	332
386	209	331
387	209	331
388	210	330
389	210	329
390	210	328
391	211	327
392	211	326
393	211	325
394	211	324
395	212	323
396	212	322
397	212	321
398	213	321
399	213	320
400	214	319
401	214	319
402	214	318
403	215	317
404	215	316
405	215	316
406	216	315
407	216	314
408	216	313
409	217	312
410	217	311
411	217	310
412	217	309
413	218	308
414	218	308
415	218	307
416	219	306
417	219	305
418	220	305
419	220	304
420	220	303
421	220	302
422	221	301
423	221	301
424	221	300
425	222	299
426	222	298
427	223	298
428	223	297
429	224	297
430	224	296
431	224	295
432	224	294
433	225	293
434	225	292
435	225	292
436	226	291
437	226	290
438	226	289
439	227	289
440	227	288
441	228	287
442	228	287
443	228	286
444	229	285
445	229	285
446	229	284
447	230	283
448	230	282
449	230	282
450	231	281
451	231	280
452	231	279
453	232	279
454	232	278
455	232	277
456	233	276
457	233	276
458	233	275
459	234	274
460	234	273
461	234	273
462	234	272
463	235	271
464	235	270
465	235	270
466	235	269
467	236	268
468	236	267
469	236	266
470	236	266
471	237	265
472	237	264
473	237	263
474	238	263
475	238	262
476	238	261
477	238	260
478	239	260
479	239	259
480	239	258
481	240	258
482	240	257
483	240	256
484	241	255
485	241	255
486	241	254
487	242	254
488	242	253
489	242	252
490	243	252
491	243	251
492	244	250
493	244	250
494	244	249
495	244	248
496	245	248
497	245	247
498	245	246
499	246	246
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	247	242
506	248	241
507	248	240
508	248	240
509	249	239
510	249	238
511	249	237
512	249	237
513	250	236
514	250	235
515	250	235
516	251	234
517	251	233
518	251	233
519	251	232
520	252	231
521	252	231
522	252	230
523	252	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	254	225
530	254	225
531	255	224
532	255	223
533	256	223
534	256	223
535	257	222
536	258	222
537	258	221
538	258	221
539	259	220
540	259	220
541	260	219
542	260	219
543	260	218
544	261	217
545	261	217
546	261	216
547	262	216
548	262	215
549	262	214
550	262	214
551	263	213
552	263	213
553	264	212
554	264	212
555	264	211
556	265	210
557	265	210
558	265	209
559	266	209
560	266	208
561	267	208
562	268	208
563	268	207
564	269	207
565	269	206
566	270	206
567	270	205
568	270	205
569	271	204
570	271	204
571	271	203
572	272	202
573	272	202
574	272	201
575	273	200
576	273	200
577	274	200
578	274	199
579	274	198
580	275	198
581	275	197
582	275	197
583	275	196
584	276	195
585	276	195
586	276	194
587	277	194
588	277	193
589	277	192
590	277	192
591	278	191
592	278	191
593	279	190
594	279	190
595	279	189
596	280	189
597	280	188
598	280	187
599	280	187
600	281	186
601	281	186
602	281	185
603	282	184
604	282	184
605	282	183
606	282	183
607	283	182
608	283	181
609	283	181
610	283	180
611	284	180
612	284	179
613	284	178
614	284	178
615	285	177
616	285	177
617	285	176
618	286	176
619	286	175
620	286	174
621	286	174
622	287	173
623	287	173
624	287	172
625	288	172
626	288	171
627	288	171
628	289	170
629	289	170
630	289	169
631	290	168
632	290	168
633	290	167
634	290	167
635	291	166
636	291	166
637	291	165
638	292	165
639	292	164
640	292	164
641	293	163
642	293	162
643	293	162
644	294	161
645	294	161
646	294	160
647	295	160
648	295	159
649	295	159
650	296	158
651	296	158
652	296	157
653	297	157
654	297	156
655	297	156
656	298	155
657	298	155
658	298	154
659	298	153
660	299	153
661	299	152
662	299	152
663	299	151
664	300	151
665	300	150
666	300	150
667	300	149
668	301	148
669	301	148
670	301	147
671	302	147
672	302	146
673	303	146
674	303	146
675	303	145
676	304	145
677	304	144
678	304	144
679	305	143
680	305	143
681	305	142
682	306	142
683	306	141
684	306	141
685	307	140
686	307	140
687	307	139
688	307	138
689	308	138
690	308	137
691	308	137
692	309	136
693	309	136
694	309	135
695	309	135
696	310	134
697	310	134
698	310	133
699	311	133
700	311	132
701	311	132
702	311	131
703	312	131
704	312	130
705	312	130
706	312	129
707	313	129
708	313	128
709	313	128
710	314	127
711	314	127
712	314	126
713	314	126
714	315	125
715	315	125
716	315	124
717	315	124
718	316	123
719	316	123
720	316	122
721	316	121
722	317	121
723	317	121
724	317	120
725	318	120
726	318	119
727	319	119
728	319	118
729	320	118
730	320	117
731	320	117
732	320	116
733	321	116
734	321	115
735	322	115
736	322	115
737	322	114
738	323	114
739	323	113
740	323	113
741	323	112
742	324	112
743	324	111
744	324	111
745	325	110
746	325	110
747	325	109
748	325	109
749	326	108
750	326	108
751	326	107
752	326	107
753	327	106
754	327	106
755	327	105
756	328	105
757	328	104
758	328	104
759	328	103
760	329	103
761	329	102
762	329	102
763	329	101
764	330	101
765	330	100
766	330	100
767	330	99
768	331	99
769	331	99
770	332	98
771	332	98
772	332	97
773	333	97
774	333	96
775	333	96
776	334	95
777	334	95
778	335	95
779	335	94
780	335	94
781	335	93
782	336	93
783	336	92
784	336	92
785	337	91
786	337	91
787	337	90
788	338	90
789	338	89
790	338	89
791	339	89
792	339	88
793	339	88
794	340	87
795	340	87
796	340	86
797	341	86
798	341	85
799	341	85
800	342	85
801	342	84
802	343	84
803	343	83
804	344	83
805	344	82
806	344	82
807	345	82
808	345	81
809	346	81
810	346	80
811	346	80
812	347	79
813	347	79
814	347	78
815	348	78
816	348	78
817	348	77
818	349	77
819	349	76
820	349	76
821	350	75
822	350	75
823	350	74
824	351	74
825	351	74
826	352	73
827	352	73
828	352	72
829	353	72
830	353	71
831	354	71
832	354	71
833	355	70
834	355	70
835	355	69
836	356	69
837	356	68
838	357	68
839	357	68
840	358	67
841	358	67
842	359	66
843	359	66
844	359	66
845	360	65
846	360	65
847	361	64
848	361	64
849	361	63
850	362	63
851	362	63
852	363	62
853	363	62
854	364	61
855	364	61
856	364	60
857	365	60
858	365	60
859	365	59
860	366	59
861	366	58
862	366	58
863	366	57
864	367	57
865	367	56
866	367	56
867	367	55
868	368	55
869	368	55
870	368	54
871	368	54
872	369	53
873	369	53
874	369	52
